,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
FBgn0010247,538.6907483,0.246631316,0.195339999,1.262574573,0.206742111,0.528749982
FBgn0086378,677.9542237,0.155060021,0.198667788,0.780499056,0.435097183,0.742610683
FBgn0037213,778.176477,0.464901835,0.137312892,3.385711475,0.00070994,0.008366592
FBgn0053294,86.62106567,-0.030963378,0.30500234,-0.101518494,0.919138877,0.973214809
FBgn0037215,7195.230945,-0.219319528,0.090660499,-2.419129943,0.015557681,0.097408738
FBgn0041621,13.02320068,-0.370903143,0.65931176,-0.56256109,0.573733794,0.829838973
FBgn0037228,17988.5375,0.227775031,0.091104151,2.500160837,0.012413693,0.082594744
FBgn0040383,544.1482585,-0.030573098,0.13621126,-0.224453526,0.822404425,0.941551317
FBgn0261261,1746.237961,-0.379477496,0.119786598,-3.167946175,0.001535199,0.015893286
FBgn0267408,4442.876908,0.279409592,0.086662693,3.224104636,0.001263672,0.013589215
FBgn0038363,191.8108476,0.520237314,0.17941347,2.899655823,0.003735726,0.033303369
FBgn0038365,12.50017705,0.141766364,0.649467332,0.218280977,0.827210195,0.943831473
FBgn0261789,1467.767739,0.321511341,0.10979466,2.928296696,0.003408246,0.030702769
FBgn0037445,2059.756475,-0.406718193,0.118897134,-3.420756918,0.000624471,0.007524266
